Timestamp,ID,Class,Encoded,Decoded,DecVal,BellLimit,Correlation,Kappa,Rho,AI_Pred,QDF_Probability,Verdict
2026-05-11 12:30:15.646,"QAI-002-001","[Sybil Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|0>","{1,0} 11 0","3   Seq: {14, 6}",1.2646,0.6323,1.54,0.005,0.7843,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-003-895","[Genuine Node &otimes; Custom Source] &oplus; Eve (|&Psi;&minus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",0.3924,0.1962,1.54,0.005,0.4314,0.6845,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-499-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.1871,0.5935,1.54,0.005,0.6244,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-648","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|0>|0>","{1,0} 10 0","{0, 2}   Seq: {12, 4}",0.6155,0.3078,1.54,0.005,0.4139,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-499-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|1>","{1,0} 01 1","1   Seq: {11, 3}",1.4262,0.7131,1.54,0.005,0.5227,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-001","[Custom Source &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.1061,0.5531,1.54,0.005,0.737,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-001-001","[Bot Node &otimes; Bot Node] &oplus; Eve (|&Phi;&plus;&rang;)","|1>|1>|1>|0>","1 11 0","3   Seq: 14",1.7886,0.8943,1.54,0.005,0.9707,0.999,"QAI Strong Pair"
2026-05-11 12:30:15.646,"QAI-003-001","[Genuine Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|1>|0>","{1,0} 01 0","1   Seq: {10, 2}",0.6425,0.3213,1.54,0.005,0.7054,0.999,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-648-895","[Custom Source &otimes; Custom Source] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|0>|0>|0>","{1,0} 00 0","0   Seq: {8, 0}",0.9077,0.4538,1.54,0.005,0.4473,0.7979,"Indeterminate"
2026-05-11 12:30:15.646,"QAI-001-001","[Bot Node &otimes; Bot Node] &oplus; Eve (|&Psi;&plus;&rang;)","|{1,0}>|1>|1>|1>","{1,0} 11 1","3   Seq: {15, 7}",1.2509,0.6254,1.54,0.005,0.9279,0.999,"Indeterminate"
