Row,Micro_N,Orig_Correlation,Orig_Kappa,Orig_Rho,Stability,Entropy,QDF_Prob,Work_Output,Orig_Verdict,IDS_Verdict,Rec_Kappa,Rec_Rho,Rec_LensDist,Rec_Entropy,Rec_Work,Rec_Verdict
1,19608,0.632,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
2,19608,0.196,1.540,0.0050,0.012,0.3155,0.6845,20669.381,"Indeterminate",STABLE,1.540,0.0050,42.0,0.3155,20669.381,Original (Safe)
3,19608,0.594,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
4,19608,0.308,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
5,19608,0.713,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
6,19608,0.553,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
7,19608,0.894,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"QAI Strong Pair",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
8,19608,0.321,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
9,19608,0.454,1.540,0.0050,0.012,0.2021,0.7979,24093.644,"Indeterminate",STABLE,1.540,0.0050,42.0,0.2021,24093.644,Original (Safe)
10,19608,0.625,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
11,19608,0.124,1.540,0.0050,0.012,0.7363,0.2637,7962.770,"Verified Safe Pair",STABLE,1.718,0.6667,58.4,0.1118,29917.617,Stable (Optimal Reroute)
12,19608,0.177,1.540,0.0050,0.012,0.0977,0.9023,27246.140,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0977,27246.140,Original (Safe)
13,19608,0.686,1.540,0.0050,0.012,0.0010,0.9990,30166.124,"Indeterminate",STABLE,1.540,0.0050,42.0,0.0010,30166.124,Original (Safe)
